season,date,level,competition,city,country,continent,altitude_in_m,distance_moscow_km,segment,number,jump,edge,rotation,fall,bonus,combination,jump_number,jump_bv,goe_raw,goe_scaled,point_value
2018-2019,2019-03-08,Junior,JWC,Zagreb,Croatia,Europe,115,1866,SP,3,3Lz+3T,,,,1,1,2,11.11,3.29,1.94,13.05
2018-2019,2019-03-09,Junior,JWC,Zagreb,Croatia,Europe,115,1866,FP,1,4Lz,,u,1,,,1,8.63,-5.00,-4.32,4.31
2018-2019,2019-03-09,Junior,JWC,Zagreb,Croatia,Europe,115,1866,FP,2,4T+3T,,,,,1,2,13.70,2.86,2.71,16.41
2018-2019,2019-03-09,Junior,JWC,Zagreb,Croatia,Europe,115,1866,FP,3,4T,,,,,,1,9.50,3.00,2.85,12.35
2018-2019,2019-03-09,Junior,JWC,Zagreb,Croatia,Europe,115,1866,FP,4,2A,,,,,,1,3.50,3.00,0.99,4.49
2018-2019,2019-03-09,Junior,JWC,Zagreb,Croatia,Europe,115,1866,FP,5,3Lz+3Lo,,,,1,1,2,11.88,-0.43,-0.25,11.63
2018-2019,2019-03-09,Junior,JWC,Zagreb,Croatia,Europe,115,1866,FP,6,3Lz+1Eu+3S,,,,1,1,3,11.77,2.57,1.52,13.29
2018-2019,2019-03-09,Junior,JWC,Zagreb,Croatia,Europe,115,1866,FP,7,3F,!,,,1,,1,5.83,0.29,0.15,5.98
2019-2020,2019-09-20,Senior,CS,Bratislava,Slovakia,Europe,144,1628,SP,1,2A,,,,,,1,3.30,3.60,1.19,4.49
2019-2020,2019-09-20,Senior,CS,Bratislava,Slovakia,Europe,144,1628,SP,2,3F,,,,,,1,5.30,3.80,2.01,7.31
2019-2020,2019-09-20,Senior,CS,Bratislava,Slovakia,Europe,144,1628,SP,3,3Lz+3Lo,,,,1,1,2,11.88,3.00,1.77,13.65
2019-2020,2019-09-21,Senior,CS,Bratislava,Slovakia,Europe,144,1628,FP,1,4Lz,,,,,,1,11.50,2.80,3.22,14.72
2019-2020,2019-09-21,Senior,CS,Bratislava,Slovakia,Europe,144,1628,FP,2,4T+3T,,,,,1,2,13.70,2.80,2.66,16.36
2019-2020,2019-09-21,Senior,CS,Bratislava,Slovakia,Europe,144,1628,FP,3,4T,,,,,,1,9.50,3.40,3.23,12.73
2019-2020,2019-09-21,Senior,CS,Bratislava,Slovakia,Europe,144,1628,FP,4,2A,,,,,,1,3.30,3.00,0.99,4.29
2019-2020,2019-09-21,Senior,CS,Bratislava,Slovakia,Europe,144,1628,FP,5,3Lz+2Lo,,,,1,1,2,8.36,-1.40,8.36,16.72
2019-2020,2019-09-21,Senior,CS,Bratislava,Slovakia,Europe,144,1628,FP,6,3Lz+1Eu+3S,,,,1,1,3,11.77,2.60,11.77,23.54
2019-2020,2019-09-21,Senior,CS,Bratislava,Slovakia,Europe,144,1628,FP,7,3F,,,,1,,1,5.83,3.00,5.83,11.66
2019-2020,2019-10-05,Senior,INT,Saitama,Japan,Asia,20,7460,FP,1,4S,,,,,,1,9.70,1.57,1.52,11.22
2019-2020,2019-10-05,Senior,INT,Saitama,Japan,Asia,20,7460,FP,2,4Lz,,,,,,1,11.50,2.57,2.96,14.46
2019-2020,2019-10-05,Senior,INT,Saitama,Japan,Asia,20,7460,FP,3,4T+3T,,,,,1,2,13.70,1.00,0.81,14.51
